EQUIPMENT,IMPORTANCE,ERR_CODE,DESCRIPTION,PROCESS_METHOD,RESET_AVAILABLE
STC,중,612,FORK 1 LOADING STEP 2 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
STC,중,613,FORK 1 LOADING STEP 3 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
STC,중,614,FORK 1 LOADING STEP 4 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
STC,중,615,FORK 1 LOADING STEP 5 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
STC,중,616,FORK 1 LOADING STEP 6 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
STC,중,617,FORK 1 LOADING STEP 7 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
STC,중,618,FORK 1 LOADING STEP 8 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
STC,중,619,FORK 1 LOADING STEP 9 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
STC,중,620,FORK 1 LOADING STEP 10 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
STC,중,621,FORK 1 UNLOADING STEP 1 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
STC,중,622,FORK 1 UNLOADING STEP 2 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
STC,중,623,FORK 1 UNLOADING STEP 3 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
STC,중,624,FORK 1 UNLOADING STEP 4 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
STC,중,625,FORK 1 UNLOADING STEP 5 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
STC,중,626,FORK 1 UNLOADING STEP 6 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
STC,중,627,FORK 1 UNLOADING STEP 7 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
STC,중,628,FORK 1 UNLOADING STEP 8 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
STC,중,629,FORK 1 UNLOADING STEP 9 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
STC,중,630,FORK 1 UNLOADING STEP 10 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
STC,중,631,FORK 2 LOADING STEP 1 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
STC,중,632,FORK 2 LOADING STEP 2 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
STC,중,633,FORK 2 LOADING STEP 3 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
STC,중,634,FORK 2 LOADING STEP 4 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
STC,중,635,FORK 2 LOADING STEP 5 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
STC,중,636,FORK 2 LOADING STEP 6 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
STC,중,637,FORK 2 LOADING STEP 7 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
STC,중,638,FORK 2 LOADING STEP 8 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
STC,중,639,FORK 2 LOADING STEP 9 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
STC,중,640,FORK 2 LOADING STEP 10 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
STC,중,641,FORK 2 UNLOADING STEP 1 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
STC,중,642,FORK 2 UNLOADING STEP 2 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
STC,중,643,FORK 2 UNLOADING STEP 3 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
STC,중,644,FORK 2 UNLOADING STEP 4 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
STC,중,645,FORK 2 UNLOADING STEP 5 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
STC,중,646,FORK 2 UNLOADING STEP 6 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
STC,중,647,FORK 2 UNLOADING STEP 7 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
STC,중,648,FORK 2 UNLOADING STEP 8 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
STC,중,649,FORK 2 UNLOADING STEP 9 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
STC,중,650,FORK 2 UNLOADING STEP 10 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
STC,중,661,HOIST LINEAR COUNT VALUE CHECK,승강위치값 이상,X
STC,중,670,FORK1 INPUT STATION CONVEYOR INTERLOCK NOT OK,"INPORT 조건이상, 육안 확인 필요",X
STC,중,671,FORK1 OUTPUT STATION CONVEYOR INTERLOCK NOT OK,"OUTPORT 조건이상, 육안 확인필요",X
STC,중,673,FORK2 OUTPUT STATION CONVEYOR INTERLOCK NOT OK,"OUTPORT 조건이상, 육안 확인필요",X
STC,상,801,RCP COMMUCATION ERROR,RCP와의 통신 시간초과. 통신 RETRY,O
STC,중,811,FORK 1 LOAD NOT DETECTED AFTER LOADING STEP,"공출고, AUTORECOVERY 가능",X
STC,중,812,FORK 2 LOAD NOT DETECTED AFTER LOADING STEP,"공출고, AUTORECOVERY 가능",X
STC,중,813,FORK 1 LOAD DETECTED AFTER UNLOADING STEP,언로딩 후 실물 감지됨. 화물 센서 점검,X
STC,중,814,FORK 2 LOAD DETECTED AFTER UNLOADING STEP,언로딩 후 실물 감지됨. 화물 센서 점검,X
STC,중,821,FORK 1 ONLINE JOB NUMBER DATA ERROR,"DATA ERROR, DATA 재요청",X
STC,중,822,FORK 1 ONLINE JOB TYPE DATA ERROR,"DATA ERROR, DATA 재요청",X
STC,중,823,FORK 1 ONLINE LOADING JOB LANE DATA ERROR,"DATA ERROR, DATA 재요청",X
STC,중,824,FORK 1 ONLINE LOADING JOB BAY DATA ERROR,"DATA ERROR, DATA 재요청",X
STC,중,825,FORK 1 ONLINE LOADING JOB LEVEL DATA ERROR,"DATA ERROR, DATA 재요청",X
STC,중,826,FORK 1 ONLINE LOADING JOB INPUT DATA ERROR,"DATA ERROR, DATA 재요청",X
STC,중,827,FORK 1 ONLINE UNLOADING JOB LANE DATA ERROR,"DATA ERROR, DATA 재요청",X
STC,중,828,FORK 1 ONLINE UNLOADING JOB BAY DATA ERROR,"DATA ERROR, DATA 재요청",X
STC,중,829,FORK 1 ONLINE UNLOADING JOB LEVEL DATA ERROR,"DATA ERROR, DATA 재요청",X
STC,중,830,FORK 1 ONLINE UNLOADING JOB OUTPUT DATA ERROR,"DATA ERROR, DATA 재요청",X
STC,중,831,FORK 2 ONLINE JOB NUMBER DATA ERROR,"DATA ERROR, DATA 재요청",X
STC,중,832,FORK 2 ONLINE JOB TYPE DATA ERROR,"DATA ERROR, DATA 재요청",X
STC,중,833,FORK 2 ONLINE LOADING JOB LANE DATA ERROR,"DATA ERROR, DATA 재요청",X
STC,중,834,FORK 2 ONLINE LOADING JOB BAY DATA ERROR,"DATA ERROR, DATA 재요청",X
STC,중,835,FORK 2 ONLINE LOADING JOB LEVEL DATA ERROR,"DATA ERROR, DATA 재요청",X
STC,중,836,FORK 2 ONLINE LOADING JOB INPUT DATA ERROR,"DATA ERROR, DATA 재요청",X
STC,중,837,FORK 2 ONLINE UNLOADING JOB LANE DATA ERROR,"DATA ERROR, DATA 재요청",X
STC,중,838,FORK 2 ONLINE UNLOADING JOB BAY DATA ERROR,"DATA ERROR, DATA 재요청",X
STC,중,839,FORK 2 ONLINE UNLOADING JOB LEVEL DATA ERROR,"DATA ERROR, DATA 재요청",X
STC,중,840,FORK 2 ONLINE UNLOADING JOB OUTPUT DATA ERROR,"DATA ERROR, DATA 재요청",X
STC,중,843,FORK2 LEFT DOUBLE CELL ERROR,이중입고 센서 동작이상. 센서 점검필요,△
STC,중,851,FORK 1 LEFT DUPLICATION JOB ERROR,이중입고 센서 동작이상. 센서 점검필요,△
STC,중,852,FORK 1 RIGHT DUPLICATION JOB ERROR,이중입고 센서 동작이상. 센서 점검필요,△
STC,중,853,FORK 2 LEFT DUPLICATION JOB ERROR,이중입고 센서 동작이상. 센서 점검필요,△
STC,중,854,FORK 2 RIGHT DUPLICATION JOB ERROR,이중입고 센서 동작이상. 센서 점검필요,△
STC,중,855, FORK 2 RIGHT DUPLICATION JOB ERROR,이중입고 센서 동작이상. 센서 점검필요,△
STC,중,856, FORK 2 RIGHT DUPLICATION JOB ERROR,이중입고 센서 동작이상. 센서 점검필요,△
STC,중,858,FORK 2 RIGHT DUPLICATION JOB ERROR,이중입고 센서 동작이상. 센서 점검필요,△
STC,중,861,FORK 1 JOB DESTINATION INHIBITED,목적지 사용 금지 설정. 설정변경,X
STC,중,862,FORK 2 JOB DESTINATION INHIBITED,목적지 사용 금지 설정. 설정변경,X
STC,중,871,ONLINE JOB DONE ACK TIME OVER ERROR,작업 완료 시간 이상,O
STC,중,872,JOB COMMAND ERROR (SINGLE TYPE),작업 완료 시간 이상,O
STC,중,873,TRAVEL DESTINATION VALUE ERROR,작업 완료 시간 이상. 작업 DATA 확인,X
STC,중,874,HOIST DESTINATION VALUE ERROR,작업 완료 시간 이상. 작업 DATA 확인,X
RGV,상,1,Emergency stop,EMG(비상 정지) 버튼 누름,X
RGV,상,2,Remote emergency stop,EMG(비상 정지) 버튼 누름,X
RGV,상,3,Bumper stop,RGV 충돌센서 감지,X
RGV,중,11,Communication time over,통신 RETRY,O
RGV,중,12,Communication packet length error,통신 RETRY,O
RGV,중,13,Normal packet. But data error,"DATA 이상, RETRY",X
RGV,중,14,Section packet data error,"DATA 이상, RETRY",X
RGV,중,21,Barcode packet length error,"DATA 이상, RETRY",X
RGV,중,22,Barcode packet data error,"DATA 이상, RETRY",X
RGV,중,23,Barcode recognition error,"바코드 데이터 이상, READ RETRY",O
RGV,상,31,Work collapse (left),RGV내 화물 위치 이상,X
RGV,상,32,Work collapse (right),RGV내 화물 위치 이상,X
RGV,상,33,Work collapse (center),RGV내 화물 위치 이상,X
RGV,상,41,Inverter error,인버터 에러 발생,X
RGV,상,42,Inverter run error,인버터 동작 에러 발생,X
RGV,상,43,Inverter error (2),인버터 에러 발생,X
RGV,상,44,Inverter run error (2),인버터 동작 에러 발생,X
RGV,중,51,Loading error,원인에 따라 RETRY 가능할 수도,△
RGV,중,52,Unloading error,원인에 따라 RETRY 가능할 수도,△
RGV,중,53,Outside sensor not detected error,"센서 감지 이상, 육안 확인 필요",X
RGV,중,54,"when bypass, sensor detected error","센서 감지 이상, 육안 확인 필요",X
RGV,중,61,FRONT HORSESHOE SENSOR ERROR,"센서 감지 이상, 육안 확인 필요",X
RGV,중,62,BACK  HORSESHOE SENSOR ERROR,"센서 감지 이상, 육안 확인 필요",X
RGV,중,63,HORSESHOE SENSOR ERROR,"센서 감지 이상, 육안 확인 필요",X
RGV,중,64,FRONT HORSESHOE SENSOR ON ERROR,"센서 감지 이상, 육안 확인 필요",X
RGV,중,65,BACK  HORSESHOE SENSOR ON ERROR,"센서 감지 이상, 육안 확인 필요",X
RGV,상,71,Socket connection error,통신 RETRY,O
RGV,중,72,ON POSITION OVERRUN,정위치 밀림 발생,X
RGV,중,73,LOCATION CHECK TIMEOVER,CHECK RETRY,X
GTR,상,1,GP MP COMMENCATUON ERROR,통신 RETRY,X
GTR,상,3,OP1 - EMERGENCY,"SAFETY 관련, 육안 확인 필요",X
GTR,상,4,OP2 - EMERGENCY,"SAFETY 관련, 육안 확인 필요",X
GTR,상,5,DOOR1 OPENED,"SAFETY 관련, 육안 확인 필요",X
GTR,상,6,DOOR2 OPENED,"SAFETY 관련, 육안 확인 필요",X
GTR,상,7,LIGHT CURTAIN1 DETECTED,"SAFETY 관련, 육안 확인 필요",X
GTR,상,8,LIGHT CURTAIN2 DETECTED,"SAFETY 관련, 육안 확인 필요",X
GTR,상,9,SAFETY DOOR1 EMERGENCY,"SAFETY 관련, 육안 확인 필요",X
GTR,상,10, SAFETY DOOR2 EMERGENCY,"SAFETY 관련, 육안 확인 필요",X
GTR,중,11, X FORWARD LIMIT SW ERROR,"SW LIMIT 감지, 육안 확인 필요",X
GTR,중,12, X BACKWARD LIMIT SW ERROR,"SW LIMIT 감지, 육안 확인 필요",X
GTR,중,13, Y FORWARD LIMIT SW ERROR,"SW LIMIT 감지, 육안 확인 필요",X
GTR,중,14, Y BACKWARD LIMIT SW ERROR,"SW LIMIT 감지, 육안 확인 필요",X
GTR,중,15, Z UP LIMIT SW ERROR,"SW LIMIT 감지, 육안 확인 필요",X
GTR,중,16, T OPEN LIMIT SW ERROR,"SW LIMIT 감지, 육안 확인 필요",X
GTR,중,17, Z BELT CUT ERROR,BELT 파단 감지 에러. 육안 확인 필요,X
GTR,중,21, X1 FORWARD LIMIT POSITION ERROR,"SW LIMIT 감지, 육안 확인 필요",X
GTR,중,22, X1 BACKWARD LIMIT POSITION ERROR,"SW LIMIT 감지, 육안 확인 필요",X
GTR,중,23, X2 FORWARD LIMIT POSITION ERROR,"SW LIMIT 감지, 육안 확인 필요",X
GTR,중,24, X2 BACKWARD LIMIT POSITION ERROR,"SW LIMIT 감지, 육안 확인 필요",X
GTR,중,25, Y FORWARD LIMIT POSITION ERROR,"SW LIMIT 감지, 육안 확인 필요",X
GTR,중,26, Y BACKWARD LIMIT POSITION ERROR,"SW LIMIT 감지, 육안 확인 필요",X
GTR,중,27, Z UP LIMIT POSITION ERROR,"SW LIMIT 감지, 육안 확인 필요",X
GTR,중,28, Z DOWN LIMIT POSITION ERROR,"SW LIMIT 감지, 육안 확인 필요",X
GTR,중,29, T OPEN LIMIT POSITION ERROR,"SW LIMIT 감지, 육안 확인 필요",X
GTR,중,30, T CLOSE LIMIT POSITION ERROR,"SW LIMIT 감지, 육안 확인 필요",X
GTR,상,31, X1 SKEW SENSOR DETECTED ERROR,"센서 감지, 육안 확인 필요",X
GTR,상,32, X2 SKEW SENSOR DETECTED ERROR,"센서 감지, 육안 확인 필요",X
GTR,중,41, X1 TECHNOLOGY ERROR,X축 구동 설정이상. ,X
GTR,중,42, X2 TECHNOLOGY ERROR,X축 구동 설정이상. ,X
GTR,중,43, Y TECHNOLOGY ERROR,Y축 구동 설정이상. ,X
GTR,중,44, Z TECHNOLOGY ERROR,Z축 구동 설정이상. ,X
GTR,중,45, T TECHNOLOGY ERROR,T축 구동 설정이상. ,X
GTR,중,46, GEARIN TECHNOLOGY ERROR,X1/X2 축 동시 주행 설정 이상,X
GTR,상,47, X1 X2 SYNCRO VALUE LIMIT OVER,X1/X2 축 동시 주행값 Over. 주행 위치 조정,X
GTR,상,51, X1 DRIVE ERROR,모터 알람,X
GTR,상,52, X2 DRIVE ERROR,모터 알람,X
GTR,상,53, Y DRIVE ERROR,모터 알람,X
GTR,상,54, Z DRIVE ERROR,모터 알람,X
GTR,상,55, T DRIVE ERROR,모터 알람,X
GTR,중,56, REGEN ERROR,구동 컨트롤러 에러,X
GTR,중,61, INITIAL PARAMETER ERROR - DRIVING MODE,원격으로 파라미터 세팅 가능한지 확인 필요,△
GTR,중,62, INITIAL PARAMETER ERROR - Y VEL FUNCTION,원격으로 파라미터 세팅 가능한지 확인 필요,△
GTR,중,63, INITIAL PARAMETER ERROR  - XY ROUND FUNCTION,원격으로 파라미터 세팅 가능한지 확인 필요,△
GTR,중,64, INITIAL PARAMETER ERROR  - Z F-0 POSITION,원격으로 파라미터 세팅 가능한지 확인 필요,△
GTR,중,65, INITIAL PARAMETER ERROR  - Z RATIO,원격으로 파라미터 세팅 가능한지 확인 필요,△
GTR,중,66, INITIAL PARAMETER ERROR - Z_TOOL_ACT_POS_RATIO,원격으로 파라미터 세팅 가능한지 확인 필요,△
GTR,중,67, INITIAL PARAMETER ERROR - T_OFFSET,원격으로 파라미터 세팅 가능한지 확인 필요,△
GTR,중,68, INITIAL PARAMETER ERROR - T_RATIO,원격으로 파라미터 세팅 가능한지 확인 필요,△
GTR,중,69, COMM PARAMETER ERROR,원격으로 파라미터 세팅 가능한지 확인 필요,△
GTR,중,70, AXIS X PARAMETER ERROR,원격으로 파라미터 세팅 가능한지 확인 필요,△
GTR,중,71, AXIS Y PARAMETER ERROR,원격으로 파라미터 세팅 가능한지 확인 필요,△
GTR,중,72, AXIS Z PARAMETER ERROR,원격으로 파라미터 세팅 가능한지 확인 필요,△
GTR,중,73, AXIS T PARAMETER ERROR,원격으로 파라미터 세팅 가능한지 확인 필요,△
GTR,상,74, EMG PARAMETER ERROR,원격으로 파라미터 세팅 가능한지 확인 필요,△
GTR,중,75, TOL PARAMETER ERROR,원격으로 파라미터 세팅 가능한지 확인 필요,△
GTR,중,76, PRODUCT PARAMETER ERROR,원격으로 파라미터 세팅 가능한지 확인 필요,△
GTR,중,77, STACK PARAMETER ERROR,원격으로 파라미터 세팅 가능한지 확인 필요,△
GTR,중,78, SITE PARAMETER ERROR,원격으로 파라미터 세팅 가능한지 확인 필요,△
GTR,중,81, Z HOME SENSOR CONDITION ERROR,센서 상태 이상,X
GTR,중,82, Z PRODUCT DETECT SENSOR CONDITION ERROR,센서 상태 이상,X
GTR,중,83, T OPENED SENSOR CONDITION ERROR,센서 상태 이상,X
GTR,중,84, T CLOSED SENSOR CONDITION ERROR,센서 상태 이상,X
GTR,중,91, DUAL DISTANCE LIMIT ERROR,2 Head 근접 에러. 위치 조정 필요,X
GTR,중,92, DUAL MODE ERROR,2 Head 운영모드 에러,o
GTR,중,93, DUAL MAINTAIN MODE INTERLOCK ERROR,2 Head 고장 조치 모드 에러. 위치 조정 필요,X
GTR,하,111,STEP 11 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
GTR,하,112,STEP 12 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
GTR,하,113,STEP 13 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
GTR,하,114,STEP 14 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
GTR,하,115,STEP 15 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
GTR,하,116,STEP 16 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
GTR,하,117,STEP 17 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
GTR,하,118,STEP 18 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
GTR,하,121,STEP 21 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
GTR,하,122,STEP 22 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
GTR,하,123,STEP 23 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
GTR,하,124,STEP 24 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
GTR,하,125,STEP 25 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
GTR,하,126,STEP 26 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
GTR,하,127,STEP 27 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
GTR,하,128,STEP 28 TIME OVER,"단위동작 TIME OUT, RETRY 시도",O
GTR,중,131,X DESTINATION VALUE FAULT,"CMD 이상, RETRY",O
GTR,중,132,Y DESTINATION VALUE FAULT,"CMD 이상, RETRY",O
GTR,중,133,Z DESTINATION VALUE FAULT,"CMD 이상, RETRY",O
GTR,중,134,T DESTINATION VALUE FAULT,"CMD 이상, RETRY",O
GTR,중,141,CONVEYOR INTERLOCK RESPONSE TIME OVER,"HAND SHAKE DATA 이상, RETRY",O
GTR,중,151, RCP INTERLOCK RESPONSE TIME OVER,"HAND SHAKE DATA 이상, RETRY",O
GTR,중,161,STACK INHIBITED,ENABLE 설정 확인 필요,X
GTR,중,162,SITE INHIBITED,ENABLE 설정 확인 필요,X
GTR,상,201,RCP COMM ERROR,RETRY,O
GTR,중,202,RCP JOB DONE TIME OVER,RETRY,O
GTR,중,211,PRODUCT IS NOT DETECTED AFTER PICKING STEP,"공출고, AUTORECOVERY 가능",X
GTR,중,212,PRODUCT IS DETECTED AFTER DROPPING STEP,자재 내려놨는데 아직도 있음,X
GTR,중,213,JOB CONDITION ERROR - PICKING,"상태와 명령 불일치, CMD 확인 후 RETRY",O
GTR,중,214,JOB CONDITION ERROR - DROPPING,"상태와 명령 불일치, CMD 확인 후 RETRY",O
GTR,중,221,ONLINE DATA ERROR - JOB DATA NUMBER,"DATA 이상, RETRY",X
GTR,중,222,ONLINE DATA ERROR - JOB DATA MAX QTY,"DATA 이상, RETRY",X
GTR,중,223,ONLINE DATA ERROR - JOB DATA INDIA,"DATA 이상, RETRY",X
GTR,중,224,ONLINE DATA ERROR - JOB DATA OUTDIA,"DATA 이상, RETRY",X
GTR,중,225,ONLINE DATA ERROR - JOB DATA HEIGHT,"DATA 이상, RETRY",X
GTR,중,226,ONLINE DATA ERROR - FROM DATA TYPE,"DATA 이상, RETRY",X
GTR,중,227,ONLINE DATA ERROR - FROM DATA STACK,"DATA 이상, RETRY",X
GTR,중,228,ONLINE DATA ERROR - FROM DATA SITE,"DATA 이상, RETRY",X
GTR,중,229,ONLINE DATA ERROR - FROM DATA PATTERN,"DATA 이상, RETRY",X
GTR,중,230,ONLINE DATA ERROR - FROM DATA POINT,"DATA 이상, RETRY",X
GTR,중,231,ONLINE DATA ERROR - TO TYPE,"DATA 이상, RETRY",X
GTR,중,232,ONLINE DATA ERROR - TO STACK,"DATA 이상, RETRY",X
GTR,중,233,ONLINE DATA ERROR - TO SITE,"DATA 이상, RETRY",X
GTR,중,234,ONLINE DATA ERROR - TO PATTERN,"DATA 이상, RETRY",X
GTR,중,235,ONLINE DATA ERROR - TO POINT,"DATA 이상, RETRY",X
GTR,상,1001, PLC Rebooting,PLC 재 시작 alram,△
GTR,상,2001, Mode change during operation,동작 중 운전모드 변경,X
GTR,상,2002, Emergency Stop : HMI,"SAFETY 관련, 육안 확인 필요",X
GTR,상,2003, Emergency Stop : OP EMG S/W,"SAFETY 관련, 육안 확인 필요",X
GTR,상,2004, Emergency Stop : Safety Door Open,"SAFETY 관련, 육안 확인 필요",X
GTR,상,2005, Emergency Stop : Trolley signal wire,"SAFETY 관련, 육안 확인 필요",X
GTR,상,2006, Emergency Stop : Light Curtain ,"SAFETY 관련, 육안 확인 필요",X
GTR,상,2007, Emergency Stop : Light Curtain ,"SAFETY 관련, 육안 확인 필요",X
GTR,중,2011, Detection of Axis-X Limit Sensor ,"센서 감지, 육안 확인 필요",X
GTR,상,2012, No Detection of Skew Safety Sensor ,"SAFETY 관련, 육안 확인 필요",X
GTR,중,2013, No Detection of Z-Axis Belt Detection Sensor ,"센서 감지, 육안 확인 필요",X
GTR,중,2014, Detection of Axis-Y Limit Sensor ,"센서 감지, 육안 확인 필요",X
GTR,중,2015, Detection of Axis-Z Limit Sensor ,"센서 감지, 육안 확인 필요",X
GTR,중,2016, No Detection of Axis-Z Home Sensor at Z-Home,HOME RETRY 해도되는지 확인필요,X
GTR,중,2017, No Detection of  Close sensor,"센서 감지, 육안 확인 필요",X
GTR,중,2018, Detection of  Laser sensor before Picking,"센서 헌팅이 있을수도 있음, 측정 RETRY",O
GTR,상,3001, CU Card and PLC Communication Error,통신 RETRY,O
GTR,상,3002, Servo Main Power Shut Off,전원 차단,X
GTR,상,3003, Regenerator Error(CU320) ,구동 컨트롤러 에러,X
GTR,중,3004, Axis-X Synchronism Fail,주행 동기 구동 에러,X
GTR,중,3005, Axis-X Synchronism Operation Error(CU320),주행 동기 조작 에러,X
GTR,중,3006, Axis-X Synchronism Position Error(PLC),주행 동기 위치 에러,X
GTR,중,3007, Cu Error,구동 컨트롤러 에러,X
GTR,중,3008, External Encoder Usage status setting Error,외부 엔코더 상태이상,X
GTR,상,3009, Servo Off Error,SERVO ON으로 해결되는지 확인 필요,△
GTR,상,3011, Axis1 Servo Error(Servo),모터 에러 ,X
GTR,상,3012, Axis2 Servo Error(Servo),모터 에러 ,X
GTR,상,3013, Axis3 Servo Error(Servo),모터 에러 ,X
GTR,상,3014, Axis4 Servo Error(Servo),모터 에러 ,X
GTR,상,3015, Axis5 Servo Error(Servo),모터 에러 ,X
GTR,상,3021, Axis1 Enable Error(Servo),원격으로 세팅 변경 가능한지 확인 필요,△
GTR,상,3022, Axis2 Enable Error(Servo),원격으로 세팅 변경 가능한지 확인 필요,△
GTR,상,3023, Axis3 Enable Error(Servo),원격으로 세팅 변경 가능한지 확인 필요,△
GTR,상,3024, Axis4 Enable Error(Servo),원격으로 세팅 변경 가능한지 확인 필요,△
GTR,상,3025, Axis5 Enable Error(Servo),원격으로 세팅 변경 가능한지 확인 필요,△
GTR,상,3031, Y-Axis Servo Error,모터 에러 ,X
GTR,중,3032, Axis2 Zeroset Error(Servo),"원점 세팅 에러, 원인이 다양함",X
GTR,중,3033, Axis3 Zeroset Error(Servo),"원점 세팅 에러, 원인이 다양함",X
GTR,중,3034, Axis4 Zeroset Error(Servo),"원점 세팅 에러, 원인이 다양함",X
GTR,중,3035, Axis5 Zeroset Error(Servo),"원점 세팅 에러, 원인이 다양함",X
GTR,중,3041, Axis1 Position movement Error(Servo),모터 에러 ,X
GTR,중,3042, Axis2 Position movement Error(Servo),모터 에러 ,X
GTR,중,3043, Axis3 Position movement Error(Servo),모터 에러 ,X
GTR,중,3044, Axis4 Position movement Error(Servo),모터 에러 ,X
GTR,중,3045, Axis5 Position movement Error(Servo),모터 에러 ,X
GTR,상,3051, Axis1 Stop Error(Servo),"모터 멈춤, 확인 필요",X
GTR,상,3052, Axis2 Stop Error(Servo),"모터 멈춤, 확인 필요",X
GTR,상,3053, Axis3 Stop Error(Servo),"모터 멈춤, 확인 필요",X
GTR,상,3054, Axis4 Stop Error(Servo),"모터 멈춤, 확인 필요",X
GTR,상,3055, Axis5 Stop Error(Servo),"모터 멈춤, 확인 필요",X
GTR,상,3061, Axis1 Speed movement Error(Servo),SPEED 세팅 가능한지 확인 필요,△
GTR,상,3062, Axis2 Speed movement Error(Servo),SPEED 세팅 가능한지 확인 필요,△
GTR,상,3063, Axis3 Speed movement Error(Servo),SPEED 세팅 가능한지 확인 필요,△
GTR,상,3064, Axis4 Speed movement Error(Servo),SPEED 세팅 가능한지 확인 필요,△
GTR,상,3065, Axis5 Speed movement Error(Servo),SPEED 세팅 가능한지 확인 필요,△
GTR,중,4001, Abnormal Job Kind,"명령 이상, CMD RETRY",O
GTR,중,4002, Abnormal Job Type(Object 0=stack / 1=site),"명령 이상, CMD RETRY",O
GTR,중,4003, Job Site Index = 0,"명령 이상, CMD RETRY",O
GTR,중,4004, Exceed of Operation Limit(Target Position),"명령 이상, CMD RETRY",O
GTR,중,4005, Less than Minimum Position(Z Target Position),"명령 이상, CMD RETRY",O
GTR,중,4011, Cargo Detection before Picking,이중입고 인듯? AUTORECOVERY 가능,O
GTR,중,4012, No Cargo Detection before Dropping,"상태와 명령 불일치, CMD 확인 후 RETRY",△
GTR,중,4013, No Cargo Detection after Picking,자재 들었는데 감지안됨,X
GTR,중,4014, Cargo Detection after Dropping,내려놨는데 자재 감지됨,X
GTR,중,4015, Tool Close Detection before Dropping,픽업장치 센서 이상. 육안 확인필요,X
GTR,중,4051, Tool Command Error,"CMD 이상, RETRY",O
GTR,중,4052, Tool Data = 0,"CMD 이상, RETRY",O
GTR,중,4053, Tool Target = 0.0,"CMD 이상, RETRY",O
GTR,중,4054, Torque Detection before Arrive Target Position,"토크에러, 확인 필요",X
GTR,중,4055, No Torque Detection after Arrive Target Position,"토크에러, 확인 필요",X
GTR,상,4098, Common zone error,2 Head 공용 존 설정 에러,X
GTR,중,4099, Time Over of Specipic Axis Motor command exxcution in Auto Mode,RETRY,O
GTR,중,5001, Job Data Error : Abnormal Kind,"DATA 이상, RETRY",X
GTR,중,5002, Job Data Error : Site=0,"DATA 이상, RETRY",X
GTR,중,5003, Job Data Error : Search For This Site Failed,"DATA 이상, RETRY",X
GTR,중,5004, Job Data Error : Inactive This Site,"DATA 이상, RETRY",X
GTR,중,5005, Job Data Error : Stack=0,"DATA 이상, RETRY",X
